CM-04       	26	02	2460.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	
CM-04       	26	03	2530.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	
CM-05       	01	01	1404.00	0	0	162.00	84.00	1.67	1.20	1.10	1.00	
CM-05       	01	02	1464.00	0	0	178.00	94.00	1.67	1.20	1.10	1.00	
CM-05       	01	03	1524.00	0	0	194.00	104.00	1.67	1.20	1.10	1.00	
CM-05       	11	01	1623.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-05       	11	02	1683.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-05       	11	03	1743.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-05       	12	01	1781.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	松木材质木门不可以加工的门型有:FM-22、FM-27、FM-29、FM-30、有带百叶的门型及双层玻璃夹木条。
CM-05       	12	02	1841.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	松木材质木门不可以加工的门型有:FM-22、FM-27、FM-29、FM-30、有带百叶的门型及双层玻璃夹木条。
CM-05       	12	03	1901.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	松木材质木门不可以加工的门型有:FM-22、FM-27、FM-29、FM-30、有带百叶的门型及双层玻璃夹木条。
CM-05       	13	01	1810.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-05       	13	02	1870.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-05       	13	03	1930.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-05       	16	01	1615.00	0	0	186.00	97.00	1.67	1.20	1.10	1.00	
CM-05       	16	02	1675.00	0	0	205.00	107.00	1.67	1.20	1.10	1.00	
CM-05       	16	03	1735.00	0	0	223.00	117.00	1.67	1.20	1.10	1.00	
CM-05       	17	01	2370.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	
CM-05       	17	02	2430.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	
CM-05       	17	03	2500.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	
CM-05       	26	01	2400.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	
CM-05       	26	02	2460.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	
CM-05       	26	03	2530.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	
CM-06       	01	01	1405.00	0	0	162.00	84.00	1.67	1.20	1.10	1.00	
CM-06       	01	02	1465.00	0	0	178.00	94.00	1.67	1.20	1.10	1.00	
CM-06       	01	03	1525.00	0	0	194.00	104.00	1.67	1.20	1.10	1.00	
CM-06       	11	01	1624.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-06       	11	02	1684.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-06       	11	03	1744.00	0	0	194.00	118.00	1.67	1.20	1.10	1.00	
CM-06       	12	01	1782.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-06       	12	02	1842.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-06       	12	03	1902.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-06       	13	01	1811.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-06       	13	02	1871.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-06       	13	03	1931.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-06       	16	01	1616.00	0	0	186.00	97.00	1.67	1.20	1.10	1.00	
CM-06       	16	02	1676.00	0	0	205.00	107.00	1.67	1.20	1.10	1.00	
CM-06       	16	03	1736.00	0	0	223.00	117.00	1.67	1.20	1.10	1.00	
CM-06       	17	01	2370.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	
CM-06       	17	02	2430.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	
CM-06       	17	03	2500.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	
CM-06       	26	01	2400.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	
CM-06       	26	02	2470.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	
CM-06       	26	03	2530.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	
CM-07       	01	01	1552.00	0	0	162.00	84.00	1.67	1.20	1.10	1.00	
CM-07       	01	02	1612.00	0	0	178.00	94.00	1.67	1.20	1.10	1.00	
CM-07       	01	03	1672.00	0	0	194.00	104.00	1.67	1.20	1.10	1.00	
CM-07       	11	01	1683.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-07       	11	02	1743.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-07       	11	03	1803.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-07       	12	01	1860.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-07       	12	02	1920.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-07       	12	03	1980.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-07       	13	01	1891.00	0	0	178.00	98.00	1.67	1.20	1.10	1.00	
CM-07       	13	02	1951.00	0	0	193.00	108.00	1.67	1.20	1.10	1.00	
CM-07       	13	03	2011.00	0	0	210.00	118.00	1.67	1.20	1.10	1.00	
CM-07       	16	01	1785.00	0	0	186.00	97.00	1.67	1.20	1.10	1.00	
CM-07       	16	02	1845.00	0	0	205.00	107.00	1.67	1.20	1.10	1.00	
CM-07       	16	03	1905.00	0	0	223.00	117.00	1.67	1.20	1.10	1.00	
CM-07       	17	01	2450.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	欧式门除外
CM-07       	17	02	2520.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	欧式门除外
CM-07       	17	03	2490.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	欧式门除外
CM-07       	26	01	2490.00	0	0	237.00	137.00	1.67	1.20	1.10	1.00	欧式门除外
CM-07       	26	02	2550.00	0	0	253.00	147.00	1.67	1.20	1.10	1.00	欧式门除外
CM-07       	26	03	2610.00	0	0	270.00	157.00	1.67	1.20	1.10	1.00	欧式门除外
CM-08       	01	01	1552.00	0	0	162.00	84.00	1.67	1.20	1.10	1.00	
